price,suburb,property_size,km_from_cbd
1060000,Ermington,720,15
930000,Ermington,581,15
702000,Bradbury,891,43.6
2050000,Booker Bay,1088,41.1
695000,Narara,512,53.4
435000,Budgewoi,569,76.65
435000,Budgewoi,556,76.65
960000,Como,784,20.31
665000,Kingswood,676,46.09
1400000,Petersham,247,5.99
1175000,Mannering Park,687,83.63
1059000,Ermington,552,15
750000,Sefton,540,18.62
575000,Bensville,746,43.91
454000,Oran Park,540,45.41
375000,Wyong,465,68.18
2455000,Taren Point,915,18.73
2155000,Carss Park,605,15.99
1330000,Pennant Hills,929,18.83
910000,Rouse Hill,700,34.5
871000,Bossley Park,563,30.17
595000,Riverstone,692,39.07
365000,Bardia,280,34.46
1820000,East Killara,835,12.23
1160000,Lewisham,242,6.74
1330000,Petersham,234,5.99
840000,Bossley Park,605,30.17
410000,Oran Park,450,45.41
1865000,Homebush West,702,13.21
1080000,Rouse Hill,700,34.5
780000,Bossley Park,570,30.17
770888,Wyong,1367,68.18
860000,Bossley Park,590,30.17
1580000,Petersham,237,5.99
1510000,Petersham,177,5.99
988000,Como,575,20.31
985000,Bossley Park,600,30.17
735500,Bossley Park,585,30.17
7500000,Birchgrove,605,2.94
1275000,Yattalunga,1100,46.33
1140000,Rouse Hill,700,34.5
746000,Narellan Vale,620,47.8
570000,South Penrith,633,48.41
522000,Bensville,751,43.91
500000,Wyong,848,68.18
397000,Budgewoi,332,76.65
1675000,Balgowlah Heights,417,8.19
1475000,West Pymble,850,13.47
756000,Edensor Park,572,30.78
597000,Petersham,61,5.99
550000,Bradbury,696,43.6
1045000,Forresters Beach,664,56.07
1010000,Bondi,81,6.13
851000,Como,629,20.31
1315000,Sandy Point,650,23.49
1070000,Wagstaffe,641,39.78
790000,Oran Park,450,45.41
630000,South Penrith,629,48.41
500000,Budgewoi,563,76.65
405000,Oran Park,450,45.41
2000000,Kyle Bay,778,17.07
1440000,Narraweena,645,14.02
390000,Wiley Park,88,14.66
820000,Oran Park,540,45.41
675000,The Ponds,455,33.2
455000,Riverstone,1669,39.07
7840000,Asquith,4375,21.32
1430000,Point Piper,90,4.02
1254000,Como,638,20.31
785000,Forresters Beach,651,56.07
725000,Edensor Park,568,30.78
700000,Doonside,600,33.46
510000,Forresters Beach,721,56.07
1805000,Botany,413,9.37
1435000,Narraweena,556,14.02
545000,Waitara,99,19.76
2300000,Blackwall,960,41.58
675000,Oran Park,400,45.41
570000,Bensville,538,43.91
377000,Oran Park,437,45.41
1450000,Botany,468,9.37
1250000,Pennant Hills,676,18.83
1120000,Lurnea,1208,29.97
970000,The Ponds,465,33.2
825000,Oran Park,544,45.41
1900000,Penshurst,565,16.01
1880080,Castle Cove,765,8.8
1605500,East Lindfield,836,11.02
1440000,Magenta,646,69.15
1250000,The Ponds,593,33.2
1200000,Rouse Hill,880,34.5
820000,Mount Druitt,651,38.24
773500,Riverstone,1012,39.07
700000,Ingleburn,645,36.04
576000,South Penrith,645,48.41
1785000,Putney,670,10.51
1650000,Eastwood,556,14.34
1633000,East Killara,864,12.23
1620000,Narraweena,613,14.02
1265000,Eastwood,664,14.34
1070000,Fairfield Heights,758,24.84
2650000,Tempe,436,7.83
1855000,Russell Lea,443,6.33
1650000,Darlinghurst,117,1.87
925000,The Ponds,295,33.2
838500,Rouse Hill,300,34.5
695000,Ingleburn,556,36.04
405000,Oran Park,420,45.41
350000,Darlinghurst,29,1.87
955000,Rouse Hill,571,34.5
440000,Ingleburn,92,36.04
935000,Woodcroft,500,32.83
4000000,Lane Cove North,1163,7.99
2650000,Bondi,400,6.13
2000000,Lane Cove North,556,7.99
605000,Casula,665,30.52
960000,The Ponds,450,33.2
649000,North Strathfield,98,11.24
1280000,Lewisham,164,6.74
1240000,Eastlakes,183,7.32
675000,Casula,311,30.52
3250000,Chiswick,644,6.89
2320000,Chiswick,455,6.89
1795000,West Pymble,923,13.47
1550000,Paddington,89,2.61
905000,Peakhurst,645,17.67
850000,Como,556,20.31
1850000,Botany,451,9.37
455000,Riverstone,453,39.07
865000,Mount Pritchard,783,28.89
682000,Doonside,450,33.46
700000,Casula,557,30.52
400000,Ingleburn,3016,36.04
2050000,Camperdown,236,3.63
1467000,Lewisham,482,6.74
820000,Forresters Beach,866,56.07
2000000,Terrey Hills,790,19.32
716500,Narellan Vale,792,47.8
645000,Wyong,750,68.18
5500000,Westmead,1347,21.55
735000,Forresters Beach,752,56.07
730500,Narellan Vale,550,47.8
717000,Ingleburn,603,36.04
710621,Ingleburn,649,36.04
706000,Wyong,1144,68.18
485000,Ingleburn,162,36.04
419000,Forresters Beach,682,56.07
1915000,West Pymble,923,13.47
1572000,Paddington,120,2.61
1060000,Carlton,372,14.29
850000,Casula,450,30.52
773500,Edensor Park,572,30.78
740000,Ingleburn,1058,36.04
635000,Fairfield Heights,314,24.84
575000,Berkeley Vale,575,61.6
377500,Wiley Park,75,14.66
1305000,Paddington,70,2.61
840000,Prestons,536,32.26
680000,Doonside,450,33.46
625000,Forresters Beach,487,56.07
610000,South Penrith,594,48.41
535000,Berkeley Vale,543,61.6
5900000,Henley,1030,7.12
1375000,Toowoon Bay,674,61.83
580000,St Clair,736,39.76
1538000,Millers Point,124,0.8
990000,Forresters Beach,715,56.07
640000,St Clair,574,39.76
645000,Narellan Vale,561,47.8
630000,Forresters Beach,607,56.07
598000,Spring Farm,450,50.15
2440000,South Hurstville,525,15.75
570000,Woodcroft,202,32.83
498500,Chipping Norton,106,24.05
1610000,East Lindfield,868,11.02
1308000,Camperdown,114,3.63
1186000,Carlton,417,14.29
777500,Prestons,459,32.26
695000,St Leonards,55,5
640000,Camperdown,57,3.63
570000,South Penrith,790,48.41
2100000,Chipping Norton,1694,24.05
1060000,Peakhurst,341,17.67
750000,Edensor Park,707,30.78
1077000,Forresters Beach,391,56.07
1000000,Chipping Norton,600,24.05
560000,South Penrith,626,48.41
520000,Narellan Vale,555,47.8
395000,Marsden Park,300,40.63
315000,Berkeley Vale,119,61.6
943000,Chipping Norton,746,24.05
850000,Glendenning,517,35.29
749000,Macquarie Park,85,12.32
721000,St Clair,629,39.76
693000,Glendenning,552,35.29
670000,Berkeley Vale,547,61.6
560000,Berkeley Vale,689,61.6
2115000,Woollahra,227,3.91
1902500,Rozelle,133,3.3
1000000,Chipping Norton,669,24.05
447000,Lethbridge Park,575,40.43
6850000,Woollahra,456,3.91
3000000,Paddington,177,2.61
1670000,Camperdown,196,3.63
1050000,Chipping Norton,850,24.05
1050000,Chipping Norton,847,24.05
950000,Berowra,841,26.88
833000,Chipping Norton,679,24.05
570000,Berkeley Vale,632,61.6
480000,Marsden Park,420,40.63
2800000,Woollahra,323,3.91
1137000,Peakhurst,860,17.67
1367000,La Perouse,288,14.29
980000,Berowra,917,26.88
880000,Woodcroft,798,32.83
659000,Narellan Vale,523,47.8
2100000,Camperdown,385,3.63
905000,Chipping Norton,740,24.05
685000,Spring Farm,413,50.15
1560000,Rozelle,208,3.3
1200000,Wagstaffe,1137,39.78
640000,Doonside,609,33.46
580000,St Clair,627,39.76
535000,Berkeley Vale,550,61.6
1500000,Lane Cove North,726,7.99
1357500,Rozelle,133,3.3
1200000,Hardys Bay,2046,39.86
585000,Kariong,473,45.8
500000,Chipping Norton,100,24.05
2275000,Paddington,127,2.61
1915000,Rozelle,304,3.3
1727000,Lilyfield,304,4.57
1640000,Peakhurst,735,17.67
1600000,Collaroy Plateau,600,16.58
1590000,Rozelle,139,3.3
1560000,Collaroy Plateau,490,16.58
1403000,Collaroy Plateau,417,16.58
745000,Carlton,169,14.29
2305000,Beverly Hills,639,15.28
1755000,Collaroy Plateau,1688,16.58
1646000,Collaroy Plateau,600,16.58
1565000,Lilyfield,303,4.57
1560000,Carlton,519,14.29
815000,Peakhurst,518,17.67
2000000,Lilyfield,185,4.57
795000,Riverstone,1012,39.07
740000,Mount Annan,588,46.81
610000,Woongarrah,707,73.6
1780000,Church Point,1410,24.6
950000,Glen Alpine,1162,47.41
883000,St Clair,625,39.76
850000,St Clair,672,39.76
820000,Greystanes,556,25.53
680000,Mount Annan,619,46.81
680000,Doonside,555,33.46
670000,Mount Pritchard,689,28.89
1545000,Windsor Downs,4617,43.7
905000,Avoca Beach,670,48.53
860000,Lidcombe,230,14.99
750000,Woodcroft,453,32.83
635000,Avoca Beach,1075,48.53
615000,Kariong,557,45.8
585000,Lethbridge Park,575,40.43
655000,Prestons,450,32.26
1475000,Church Point,1204,24.6
1365000,Haberfield,404,6.75
835000,Georges Hall,556,20.97
825000,Kariong,596,45.8
788000,Prestons,463,32.26
727000,Rozelle,67,3.3
646000,Rooty Hill,556,35.32
585000,Chipping Norton,158,24.05
510000,Chipping Norton,104,24.05
3720000,Woollahra,114,3.91
2337000,Collaroy Plateau,414,16.58
1175000,Collaroy Plateau,474,16.58
927000,Cecil Hills,629,33.92
730000,Prestons,488,32.26
627500,Prestons,334,32.26
600000,Edensor Park,550,30.78
2620000,Wentworthville,575,23.17
1100000,Fairfield Heights,769,24.84
998000,Chipping Norton,849,24.05
940000,Berowra,700,26.88
870000,Marsden Park,390,40.63
690000,Chiswick,85,6.89
575000,Avoca Beach,696,48.53
1630000,Lidcombe,600,14.99
880000,Lidcombe,288,14.99
699000,South Penrith,645,48.41
1131000,Wentworthville,420,23.17
645500,South Penrith,556,48.41
430000,Long Jetty,165,61.67
2160000,Taren Point,1057,18.73
1550000,Narraweena,556,14.02
1480000,Rozelle,108,3.3
1280000,Lurnea,1296,29.97
560000,Mount Annan,557,46.81
1226000,Avoca Beach,1220,48.53
930000,Chipping Norton,670,24.05
825000,Lilyfield,271,4.57
670000,Rooty Hill,733,35.32
650000,Woongarrah,802,73.6
2051000,Sans Souci,545,15.92
1515000,Como,530,20.31
1150000,Peakhurst,562,17.67
1130000,Como,550,20.31
690500,Doonside,565,33.46
2000000,Ramsgate Beach,900,14.29
1050000,Erina Heights,8508,51.95
672500,Kariong,611,45.8
2200000,Point Frederick,753,48.56
1700000,Lilyfield,183,4.57
1100000,Colebee,621,36.09
1030000,Lidcombe,410,14.99
720000,Glen Alpine,860,47.41
685000,South Penrith,689,48.41
585100,Kariong,663,45.8
426420,Lethbridge Park,588,40.43
1950000,Rozelle,246,3.3
752500,Long Jetty,689,61.67
605000,Colebee,443,36.09
560000,Long Jetty,581,61.67
470000,Colebee,368,36.09
1200000,St Peters,228,6.42
850000,Ettalong Beach,708,40.41
822000,Avoca Beach,550,48.53
770000,Mount Annan,623,46.81
465000,Niagara Park,750,55.43
3300000,Whale Beach,917,30.16
1640000,Collaroy Plateau,423,16.58
1400000,Rozelle,117,3.3
810000,Wentworthville,392,23.17
699000,Colebee,814,36.09
690000,Long Jetty,765,61.67
1230000,Lidcombe,487,14.99
1176000,Cecil Hills,615,33.92
810000,Mount Annan,969,46.81
705000,Hamlyn Terrace,518,72.13
490000,Kariong,323,45.8
426000,Lakemba,90,13.76
2610000,Freshwater,404,12.07
1300000,Hardys Bay,1043,39.86
655000,Long Jetty,601,61.67
6000000,Freshwater,862,12.07
2010000,Hunters Hill,644,6.95
1060000,Oxley Park,1075,39.76
902000,Lidcombe,370,14.99
2450000,Earlwood,651,9.84
2065000,Freshwater,573,12.07
1830000,Haberfield,461,6.75
1510000,Marsfield,575,13.73
1300000,Earlwood,457,9.84
1294000,Wentworthville,873,23.17
1150000,Earlwood,329,9.84
865000,Georges Hall,556,20.97
560000,Niagara Park,563,55.43
565000,Colebee,520,36.09
640000,Long Jetty,359,61.67
1950000,Clontarf,626,7.69
1800000,Lidcombe,524,14.99
860000,Glen Alpine,822,47.41
735000,Blaxland,668,56.39
678000,Glen Alpine,503,47.41
610000,Woongarrah,603,73.6
450000,Niagara Park,355,55.43
1150000,Lewisham,183,6.74
1005500,Milperra,695,22.57
432000,Lethbridge Park,682,40.43
5500000,Woollahra,272,3.91
1990000,Greenhills Beach,566,19.56
772000,Glen Alpine,1085,47.41
1450000,Lidcombe,625,14.99
1175000,Long Jetty,601,61.67
715000,Georges Hall,230,20.97
443000,Marsden Park,345,40.63
2600000,Hunters Hill,689,6.95
2500000,Ramsgate Beach,922,14.29
2427500,Killara,1200,11.7
1920000,Freshwater,665,12.07
1910000,Roseville Chase,809,10.07
1338000,Narraweena,897,14.02
1250000,Glen Alpine,694,47.41
1250000,Fairlight,78,9.88
1172500,Narrabeen,109,18.45
1108000,Colebee,456,36.09
1600000,Sans Souci,569,15.92
872000,Wentworthville,790,23.17
8650000,Darling Point,516,2.51
3650000,Woollahra,169,3.91
3610000,Merrylands,803,21.07
1725000,Lilyfield,405,4.57
407000,San Remo,550,77.69
3550000,Hunters Hill,923,6.95
1780000,Hunters Hill,348,6.95
1050000,Cecil Hills,582,33.92
710000,Glenfield,599,31.57
680000,Woongarrah,623,73.6
665000,Glendenning,452,35.29
625000,Kariong,608,45.8
560000,Glendenning,461,35.29
11000000,Hunters Hill,1024,6.95
1100000,Cecil Hills,718,33.92
690000,Jordan Springs,375,46.85
612000,Kariong,872,45.8
4750000,Hunters Hill,429,6.95
1380000,Lidcombe,313,14.99
1355000,Berowra,812,26.88
900000,Long Jetty,1289,61.67
545000,Woongarrah,599,73.6
465000,Jordan Springs,513,46.85
436500,Bateau Bay,569,58.53
390000,San Remo,678,77.69
2410000,St Marys,1170,42.31
680000,Wetherill Park,561,28.94
510000,Killarney Vale,556,60.03
1450000,Elanora Heights,800,19.05
925000,Panania,626,22.21
850000,Padstow Heights,556,20.06
4750000,Belmore,505,12.8
1400000,Lansvale,10000,23.35
480000,Oran Park,540,45.41
890000,Woodcroft,600,32.83
759950,Mount Druitt,558,38.24
545000,Wyong,850,68.18
1552000,Lilyfield,148,4.57
1350000,Lewisham,270,6.74
775000,Georges Hall,550,20.97
720000,St Clair,800,39.76
2435000,Hunters Hill,700,6.95
2250000,Harris Park,498,18.92
1860000,Roseville Chase,1000,10.07
1570000,Rozelle,139,3.3
1292000,Cecil Hills,647,33.92
1035000,Glen Alpine,726,47.41
1018000,Greystanes,415,25.53
990000,Fairlight,98,9.88
981000,Glen Alpine,874,47.41
881000,Georges Hall,556,20.97
851500,East Hills,278,23.11
779000,Glen Alpine,900,47.41
590000,Mount Pritchard,639,28.89
560000,Mount Pritchard,676,28.89
1850000,Castle Cove,556,8.8
1635000,Haberfield,284,6.75
1495000,Sans Souci,721,15.92
847000,Cecil Hills,616,33.92
800000,North Sydney,86,3.16
780000,Ettalong Beach,498,40.41
745000,Claremont Meadows,550,43.49
723000,Avoca Beach,780,48.53
384000,Bateau Bay,288,58.53
4235000,Middle Cove,1151,8.07
1100000,Cecil Hills,835,33.92
390000,San Remo,550,77.69
2030000,Caringbah South,450,22.43
1425000,Arncliffe,241,10.09
1270000,Greenacre,607,14.61
1035000,Greenacre,361,14.61
1000000,Greenacre,613,14.61
970000,Manly Vale,99,10.57
940000,Greenacre,581,14.61
891000,Greenacre,505,14.61
3200000,Clareville,917,27.02
2120000,Freshwater,404,12.07
1350000,Henley,113,7.12
860000,Berowra,657,26.88
630000,Colebee,450,36.09
405000,Edmondson Park,319,34.95
3500000,Forresters Beach,746,56.07
1498283,Earlwood,569,9.84
1420000,Mannering Park,630,83.63
1380000,Lewisham,159,6.74
660000,Bateau Bay,733,58.53
515000,Edmondson Park,450,34.95
457500,San Remo,688,77.69
361000,San Remo,556,77.69
2520000,Haberfield,696,6.75
2387000,Stanmore,309,5.2
2250000,Neutral Bay,233,3.44
1750000,Stanmore,226,5.2
1720000,Stanmore,304,5.2
1697500,South Coogee,290,8.48
1577500,Stanmore,475,5.2
1520000,Earlwood,594,9.84
1320000,Point Frederick,746,48.56
1090000,East Hills,961,23.11
955000,Lidcombe,417,14.99
850000,Cecil Hills,608,33.92
600000,Bateau Bay,665,58.53
890000,Blaxland,1037,56.39
2101000,Carlton,548,14.29
1980200,Fairlight,278,9.88
1920000,East Lindfield,811,11.02
1300000,St Peters,215,6.42
1185000,Avoca Beach,1094,48.53
860000,Colebee,451,36.09
785000,Lakemba,442,13.76
775000,Rooty Hill,478,35.32
755000,Glenfield,604,31.57
705000,Rooty Hill,567,35.32
640000,Blaxland,1194,56.39
906000,Blaxland,747,56.39
875000,Milperra,658,22.57
690000,Mount Pritchard,680,28.89
425000,Hamlyn Terrace,382,72.13
415000,Hamlyn Terrace,387,72.13
1040000,Breakfast Point,137,9.49
860000,Toongabbie,575,25.67
1620000,Wagstaffe,683,39.78
1285000,Hurlstone Park,266,9.03
1150000,Hammondville,816,25.13
622000,Glenfield,293,31.57
3100000,Waterloo,455,3.91
2525000,Breakfast Point,450,9.49
1400000,South Turramurra,800,15.73
935000,Rhodes,110,11.87
749990,Jordan Springs,375,46.85
557500,Bateau Bay,821,58.53
2650000,Breakfast Point,473,9.49
2360000,Collaroy Plateau,1018,16.58
2081000,Bexley North,645,12.24
2001000,Killara,1005,11.7
1615000,Campsie,560,11.28
1533000,Wollstonecraft,411,3.78
1405000,Kyle Bay,689,17.07
1050000,Bateau Bay,619,58.53
537000,Bateau Bay,600,58.53
