price,suburb,property_size,km_from_cbd
975000,Quakers Hill,548,33.29
787000,Willoughby,107,6.53
520000,Colyton,347,39.3
467000,Budgewoi,556,76.65
2200000,Killcare,753,40.73
1070000,Charmhaven,765,75.6
980000,Budgewoi,594,76.65
835000,Quakers Hill,555,33.29
669000,Jannali,186,21.53
580000,Budgewoi,505,76.65
535000,Kingsford,54,6.95
3738000,Bondi,531,6.13
1712000,Church Point,6299,24.6
615000,Bass Hill,607,20.43
812150,Quakers Hill,450,33.29
560000,Wadalba,450,69.89
520000,Marayong,626,32.22
1450000,Bondi Junction,139,4.85
1400000,Warrimoo,7227,57.07
2600000,Forresters Beach,582,56.07
2250000,Dulwich Hill,746,7.9
1120000,Sandringham,607,16.06
870000,Panania,536,22.21
2300000,Fairlight,383,9.88
750000,Seven Hills,556,26.58
526000,Colyton,632,39.3
1605000,Bondi,190,6.13
1180000,Dundas Valley,680,16.38
1177500,Dundas Valley,677,16.38
920000,Dundas Valley,695,16.38
905000,Panania,607,22.21
720000,Spring Farm,387,50.15
715000,Marayong,552,32.22
650000,Spring Farm,390,50.15
585500,Seven Hills,645,26.58
1315000,Carlingford,714,18.2
1760000,West Pennant Hills,1001,20.91
1150000,Waterloo,167,3.91
2100000,Kogarah Bay,733,15.25
1019000,Rouse Hill,700,34.5
890000,Bossley Park,557,30.17
380000,Quakers Hill,154,33.29
2430000,Coogee,348,7.42
1500000,Forestville,866,11.47
660000,Surry Hills,72,2.14
602000,Colyton,626,39.3
3900000,Point Frederick,1561,48.56
2150000,Wareemba,658,7.24
2110000,Fairlight,302,9.88
1000000,Waterloo,114,3.91
765000,Panania,588,22.21
763000,Quakers Hill,796,33.29
690000,Seven Hills,556,26.58
3051000,Coogee,582,7.42
1770000,East Lindfield,698,11.02
1510000,Gladesville,610,8.76
1333000,Waitara,1140,19.76
1177000,Willoughby,335,6.53
1100000,Rouse Hill,715,34.5
1100000,Rouse Hill,715,34.5
955000,Chipping Norton,664,24.05
805000,Bossley Park,550,30.17
750000,Bondi Junction,63,4.85
418000,Colyton,619,39.3
4750000,Rhodes,1018,11.87
2850000,Sandringham,727,16.06
2600000,Kingsford,600,6.95
2000000,East Lindfield,815,11.02
1850000,North Curl Curl,405,13.57
1685000,Dolls Point,796,15.45
1307000,Forestville,841,11.47
1030000,Revesby,923,20.44
918000,Padstow,607,19.07
873000,Revesby,746,20.44
735000,Revesby,321,20.44
708000,Yagoona,651,17.96
671000,Yagoona,645,17.96
1090000,Bass Hill,637,20.43
720000,Yagoona,689,17.96
650000,Marayong,550,32.22
580000,Colyton,613,39.3
1170000,Dundas Valley,376,16.38
600000,Lake Haven,696,74.04
645000,Spring Farm,500,50.15
425189,Pemulwuy,270,26.91
395000,Spring Farm,454,50.15
1415000,Terrey Hills,701,19.32
1300000,Carlingford,720,18.2
1101000,Carlingford,1105,18.2
1100000,Carlingford,885,18.2
1052000,West Pennant Hills,547,20.91
850000,Chipping Norton,561,24.05
620000,Cambridge Park,696,46.55
500000,Penrith,552,49.99
770000,Revesby,576,20.44
833000,Ryde,138,10.92
1325000,Gladesville,916,8.76
495000,Cranebrook,939,49.66
1575000,Terrey Hills,701,19.32
1100000,Mount Pritchard,2023,28.89
982500,Kingsford,203,6.95
765000,Cranebrook,685,49.66
650000,Cranebrook,375,49.66
600000,Marayong,558,32.22
1610000,West Pennant Hills,900,20.91
1310000,West Pennant Hills,961,20.91
1045000,Mount Colah,1505,23.26
1005000,Pennant Hills,920,18.83
880000,Mount Colah,835,23.26
580000,Cranebrook,711,49.66
1340000,Mount Colah,1170,23.26
1315000,Daceyville,424,7.21
881000,Chipping Norton,671,24.05
685000,Yagoona,480,17.96
1165000,Mount Colah,750,23.26
1180000,Pennant Hills,392,18.83
1050000,Mount Pritchard,917,28.89
920000,Rouse Hill,600,34.5
740000,Padstow,575,19.07
675000,Waterloo,77,3.91
560000,Colyton,695,39.3
1355000,Wagstaffe,676,39.78
1280000,Ryde,898,10.92
1050000,Ramsgate,670,14.55
820000,Mount Colah,945,23.26
700000,Cambridge Park,669,46.55
635000,Penrith,171,49.99
630000,Marsden Park,300,40.63
557500,Cranebrook,418,49.66
520000,Cambridge Park,696,46.55
4250000,Manly,436,10.17
1415000,Lilyfield,215,4.57
1250000,Forestville,696,11.47
930000,Rouse Hill,607,34.5
711000,Prestons,464,32.26
2530000,Ryde,854,10.92
1060000,Padstow,940,19.07
880000,Padstow,546,19.07
740000,Spring Farm,550,50.15
465000,Cambridge Park,612,46.55
1780000,South Coogee,415,8.48
1205000,Lilyfield,171,4.57
877000,Picnic Point,556,22.31
870000,Rouse Hill,525,34.5
550000,Cranebrook,634,49.66
429000,Marsden Park,375,40.63
1150000,Mount Pritchard,1493,28.89
341000,Wiley Park,86,14.66
4370000,Canada Bay,2615,8.78
1190000,Beecroft,487,18.35
2620000,Fairlight,373,9.88
1273300,Ryde,771,10.92
690000,Cranebrook,561,49.66
406000,Cranebrook,625,49.66
1300000,Dover Heights,322,6.67
857000,Pennant Hills,1082,18.83
580000,Cranebrook,523,49.66
8000000,Whale Beach,765,30.16
1731000,Beecroft,727,18.35
1000000,Canterbury,687,10.09
985000,Revesby,452,20.44
900000,Padstow,541,19.07
795000,Picnic Point,550,22.31
685000,Cranebrook,350,49.66
601000,Canterbury,144,10.09
500000,Berkeley Vale,556,61.6
4300000,Cremorne Point,664,3.01
3025000,Chiswick,575,6.89
1155000,Fairlight,106,9.88
578000,Kariong,620,45.8
545000,Cranebrook,642,49.66
510000,Cranebrook,560,49.66
4050000,Bondi Junction,790,4.85
1475000,Kingsford,308,6.95
805000,Pemulwuy,355,26.91
770000,Prestons,552,32.26
680000,Spring Farm,390,50.15
435000,Berkeley Vale,600,61.6
425000,Marsden Park,313,40.63
375000,Berkeley Vale,499,61.6
355000,Marsden Park,300,40.63
2661000,Campsie,640,11.28
2650000,Lilyfield,903,4.57
2467500,Kingsford,310,6.95
1825000,Beecroft,1012,18.35
1545000,Lilyfield,173,4.57
1236000,Pennant Hills,615,18.83
790000,Spring Farm,790,50.15
709000,Pemulwuy,196,26.91
660000,Ingleburn,655,36.04
470000,Penrith,482,49.99
850000,Rydalmere,651,16.91
820000,Prestons,473,32.26
590000,Prestons,300,32.26
2450000,Point Frederick,1220,48.56
1270000,Dundas Valley,650,16.38
1030000,Claremont Meadows,570,43.49
1020000,Ellis Lane,3919,52.54
780000,Marsden Park,430,40.63
770000,Marsden Park,314,40.63
581000,Cranebrook,605,49.66
365000,Marsden Park,300,40.63
2560000,Manly,520,10.17
2475000,Kingsford,455,6.95
2405000,North Parramatta,1037,19.97
2310000,Fairlight,411,9.88
780000,Chipping Norton,670,24.05
660000,Penrith,645,49.99
540000,Cranebrook,610,49.66
525000,Colyton,601,39.3
427000,Bankstown,132,17.61
3300000,Telopea,1365,17.4
1620000,Daceyville,291,7.21
1249900,Marsden Park,450,40.63
935000,Chipping Norton,793,24.05
790000,Spring Farm,464,50.15
760500,Revesby,524,20.44
435888,Marsden Park,375,40.63
1300000,Canterbury,325,10.09
780000,Dundas Valley,607,16.38
770000,Kariong,650,45.8
580000,Berkeley Vale,544,61.6
544000,Berkeley Vale,556,61.6
4350000,Whale Beach,802,30.16
1350000,Cabarita,177,8.88
699000,Kariong,684,45.8
575000,Bateau Bay,562,58.53
2430000,Lilyfield,307,4.57
2320000,Fairlight,379,9.88
2100000,Marrickville,493,7.23
1430000,Denistone West,879,14.23
1310000,Rhodes,185,11.87
1250000,Sydney,128,0.31
830000,Rydalmere,580,16.91
820000,Yagoona,607,17.96
640000,Canterbury,183,10.09
418000,Wentworth Point,74,12.9
290000,Berkeley Vale,544,61.6
2404000,Sydney,102,0.31
999000,Yagoona,885,17.96
940000,Pemulwuy,371,26.91
930000,Gledswood Hills,518,42.7
921000,Gledswood Hills,589,42.7
705000,Bateau Bay,525,58.53
700000,Bass Hill,556,20.43
695000,Bankstown,264,17.61
661000,Ingleburn,557,36.04
590000,Ingleburn,471,36.04
510000,Yagoona,169,17.96
3200000,Sydney,166,0.31
750000,Gledswood Hills,416,42.7
675000,Berkeley Vale,695,61.6
645000,Prestons,558,32.26
545000,Bankstown,145,17.61
340000,Ingleburn,153,36.04
3100000,Darlinghurst,200,1.87
1025000,Marrickville,164,7.23
765000,Bankstown,531,17.61
695000,Canterbury,107,10.09
680000,Prestons,557,32.26
625000,Kariong,600,45.8
3200000,Penrith,2143,49.99
1768000,Middle Cove,601,8.07
1050000,Bankstown,895,17.61
455000,Marrickville,46,7.23
2550000,Marrickville,693,7.23
1600000,Bella Vista,840,27.28
1380000,Killcare,1290,40.73
1365000,Beecroft,999,18.35
1220000,Leichhardt,219,5.31
1200000,Sydney,66,0.31
1190000,Sydney,122,0.31
1187000,Pennant Hills,1317,18.83
1025000,Mount Colah,583,23.26
850000,Bateau Bay,601,58.53
650000,Bateau Bay,656,58.53
585000,Cambridge Park,765,46.55
530000,Yagoona,119,17.96
395000,Bankstown,95,17.61
2125000,Croydon,645,8.77
1800000,Picnic Point,856,22.31
1070000,Carss Park,632,15.99
770000,Yagoona,569,17.96
610000,Ingleburn,563,36.04
1450000,Marrickville,118,7.23
1020000,Noraville,734,73.32
840000,Narellan Vale,702,47.8
1380000,Darlinghurst,86,1.87
1005000,Pennant Hills,680,18.83
620000,Bateau Bay,654,58.53
585000,Ingleburn,225,36.04
520000,Bateau Bay,396,58.53
470000,Ingleburn,199,36.04
1730000,Leichhardt,190,5.31
1340000,Croydon,320,8.77
1130000,Yellow Rock,9991,57.08
885000,Gledswood Hills,510,42.7
510000,Gledswood Hills,568,42.7
495000,Bateau Bay,447,58.53
1770000,Bella Vista,1043,27.28
1500000,Cheltenham,1113,17.09
810000,Prestons,577,32.26
800000,Wentworth Point,109,12.9
520000,Cambridge Park,645,46.55
1940000,Tennyson Point,620,9.37
1670000,Beecroft,936,18.35
1511800,Forestville,974,11.47
1510000,Bella Vista,794,27.28
1400000,Bondi,98,6.13
689000,Kariong,600,45.8
528000,Kariong,384,45.8
420000,Wiley Park,108,14.66
2262000,Hurlstone Park,474,9.03
2105000,Picnic Point,1042,22.31
1880000,Forestville,797,11.47
1600000,Kyle Bay,715,17.07
1300000,Canterbury,708,10.09
1300000,Beecroft,1012,18.35
1250000,Glenfield,1450,31.57
1960000,Sydney,97,0.31
1650000,Beecroft,936,18.35
1616000,North Willoughby,316,7.78
1380000,Carss Park,562,15.99
1280000,Carlton,558,14.29
1192000,North Rocks,746,20.61
701000,Wentworth Point,117,12.9
1300000,North Rocks,746,20.61
1500000,Malabar,511,11.71
1070000,Eastwood,273,14.34
1050000,Wiley Park,765,14.66
725000,Parramatta,155,19.44
721000,Toongabbie,664,25.67
535000,Narellan Vale,496,47.8
16988000,Lavender Bay,650,2.37
665000,Strathfield,145,12.01
510000,Narellan Vale,306,47.8
450000,Kariong,623,45.8
347000,Wiley Park,81,14.66
1100000,Pennant Hills,1395,18.83
1030000,Toowoon Bay,721,61.83
1000000,Hornsby,686,21.2
507000,Cambridge Park,613,46.55
412000,Wiley Park,121,14.66
2860000,Ingleside,7369,19.96
2000000,Glenmore Park,9024,49.65
1297000,Mount Colah,1173,23.26
1240000,Mount Druitt,1012,38.24
690000,Wyong,389,68.18
665000,Prestons,480,32.26
610000,Narellan Vale,630,47.8
504000,Narellan Vale,568,47.8
480000,Cambridge Park,1542,46.55
477500,Bateau Bay,545,58.53
1800000,Leichhardt,423,5.31
1750000,Harris Park,670,18.92
1740000,Lilyfield,417,4.57
1486000,Eastwood,645,14.34
1223000,Darlinghurst,64,1.87
1221000,North Rocks,904,20.61
1000000,Turrella,454,9.65
512000,Mount Druitt,550,38.24
472000,The Ponds,320,33.2
4010000,Carlton,1985,14.29
1185000,Mount Colah,755,23.26
627000,Cambridge Park,784,46.55
550000,Mount Druitt,586,38.24
467500,Kariong,601,45.8
380000,Wiley Park,786,14.66
2325000,Strathfield,645,12.01
900000,The Ponds,451,33.2
800000,Strathfield,199,12.01
638000,Werrington,352,44.13
545000,Toongabbie,201,25.67
545000,Narellan Vale,550,47.8
435000,Wentworth Point,209,12.9
1438000,Bella Vista,700,27.28
815000,Hornsby,501,21.2
635000,Kariong,607,45.8
530000,Umina Beach,900,39.51
1580000,Davidson,1141,14.03
1550000,Cronulla,764,21.83
1520000,Windsor Downs,4020,43.7
800000,North Rocks,1100,20.61
600000,Mount Druitt,563,38.24
490000,Mount Druitt,235,38.24
3450000,Chippendale,256,2.52
1525000,Pennant Hills,884,18.83
1285000,Mount Colah,806,23.26
1120000,Avoca Beach,1047,48.53
1040000,Oxley Park,2198,39.76
1000000,Carlton,392,14.29
745000,Toongabbie,645,25.67
620000,Hornsby,115,21.2
3526000,Killara,1359,11.7
1760000,Croydon,547,8.77
1440000,Carlton,556,14.29
1260000,Kingsgrove,540,13.14
1250000,Eastwood,620,14.34
1210000,Strathfield,260,12.01
1090000,St Johns Park,663,28.54
1080000,North Rocks,822,20.61
938000,Kingsgrove,487,13.14
1850000,Palm Beach,689,31.42
890000,Kariong,653,45.8
612000,St Clair,600,39.76
3090000,Killara,823,11.7
1700000,Bella Vista,881,27.28
1275000,Toukley,1018,74.11
1265000,The Ponds,490,33.2
950000,Winmalee,1562,59.15
1228888,Bella Vista,384,27.28
487000,Winmalee,696,59.15
1450000,Sandringham,468,16.06
1220000,Eastgardens,367,8.99
1202500,North Rocks,714,20.61
1180000,Umina Beach,658,39.51
732000,Prestons,450,32.26
550000,Kariong,646,45.8
386000,Toongabbie,95,25.67
1900000,Mount Lewis,594,15.8
1190000,Voyager Point,502,24.14
1020000,Picnic Point,550,22.31
635000,St Clair,626,39.76
490000,Wentworth Point,91,12.9
295000,Wyong,101,68.18
800000,Gledswood Hills,436,42.7
715000,Mount Druitt,1012,38.24
870000,Avoca Beach,743,48.53
750000,Petersham,87,5.99
702000,Liverpool,562,27.85
1390000,North Rocks,766,20.61
975000,Rydalmere,645,16.91
837000,Greystanes,562,25.53
557250,Winmalee,696,59.15
555000,Winmalee,1296,59.15
525000,Georges Hall,179,20.97
1930000,Cronulla,550,21.83
1920000,Leichhardt,380,5.31
1800000,Kingsgrove,891,13.14
1207500,Beecroft,820,18.35
1162500,Sandringham,360,16.06
1053500,Picnic Point,556,22.31
1011000,Picnic Point,613,22.31
2300000,Telopea,720,17.4
1585000,Bella Vista,725,27.28
1370000,The Ponds,558,33.2
1175000,Greystanes,632,25.53
948000,Terrigal,736,50.75
555000,Umina Beach,520,39.51
275000,Mount Druitt,90,38.24
2150000,Hunters Hill,506,6.95
2100000,Bella Vista,735,27.28
1200000,Clareville,696,27.02
1005000,Picnic Point,275,22.31
555000,Narellan Vale,545,47.8
1675000,Caringbah,581,20.47
965000,St Clair,641,39.76
915000,Umina Beach,531,39.51
780000,St Clair,630,39.76
750000,Umina Beach,730,39.51
745000,Liverpool,572,27.85
667000,Narellan Vale,579,47.8
650000,Umina Beach,538,39.51
588000,Terrigal,574,50.75
2235000,Chippendale,120,2.52
1800000,Cabarita,571,8.88
1395000,Eastgardens,569,8.99
1300000,Kingsgrove,558,13.14
1260000,Rydalmere,803,16.91
3450000,Duffys Forest,2053,21.21
960000,Terrigal,658,50.75
870000,Caringbah,331,20.47
727500,Umina Beach,739,39.51
642000,Mount Druitt,569,38.24
2350000,Avoca Beach,930,48.53
1534000,Canada Bay,411,8.78
940000,Rydalmere,569,16.91
348000,Mount Druitt,109,38.24
5200000,Kingswood,1947,46.09
3800000,Rushcutters Bay,158,1.94
1150099,Avoca Beach,670,48.53
640000,Petersham,74,5.99
1905000,North Curl Curl,338,13.57
1785000,Cabarita,380,8.88
425000,Mount Druitt,396,38.24
3010000,Hunters Hill,696,6.95
1750000,Croydon,539,8.77
1585000,Baulkham Hills,930,24.81
1151000,East Gosford,993,49.55
1055000,Horningsea Park,611,34.99
760000,Stanmore,119,5.2
1285000,Silverwater,677,15.62
1025000,Kingsgrove,390,13.14
628000,South Penrith,650,48.41
3650000,Whale Beach,1549,30.16
1985000,Dolls Point,588,15.45
1900000,Cremorne,163,4.45
1720000,Burwood Heights,469,10.16
1575000,Petersham,108,5.99
1410000,Baulkham Hills,1914,24.81
1200000,Baulkham Hills,696,24.81
1186000,Baulkham Hills,722,24.81
1125000,Bungarribee,515,33.4
750000,Fairfield,655,23.96
662000,Carlton,146,14.29
645000,Fairfield,584,23.96
3100000,Paddington,158,2.61
2250000,Lilli Pilli,777,24.05
1720000,Greystanes,809,25.53
1120000,Rooty Hill,917,35.32
830000,Greystanes,556,25.53
1365000,Baulkham Hills,727,24.81
1355000,Terrigal,986,50.75
1290000,Baulkham Hills,929,24.81
1200000,Baulkham Hills,696,24.81
995000,Terrigal,590,50.75
962000,Sutherland,582,23.45
805000,South Penrith,573,48.41
735000,Winmalee,1967,59.15
1261100,Baulkham Hills,697,24.81
710000,St Clair,629,39.76
622000,St Clair,637,39.76
535000,Denham Court,557,37.48
2105000,Cremorne,187,4.45
1625000,Wyong,2832,68.18
975000,Sutherland,556,23.45
640000,South Penrith,631,48.41
2530000,Casula,3599,30.52
1887000,Paddington,114,2.61
1600000,Terrigal,794,50.75
1015000,Avoca Beach,568,48.53
585000,Sutherland,96,23.45
2450000,Balgowlah,536,9.16
2275000,Homebush,923,12.1
1760000,Baulkham Hills,810,24.81
1520000,Petersham,351,5.99
1056000,Carlton,360,14.29
1052000,Beverly Hills,411,15.28
930000,Carlton,208,14.29
1525000,Sandy Point,790,23.49
2750000,Hunters Hill,556,6.95
880000,Georges Hall,575,20.97
4160000,Lavender Bay,170,2.37
4065000,Centennial Park,211,4.19
3500000,Woollahra,156,3.91
1685000,Burraneer,700,22.83
2470000,Cremorne,355,4.45
1945000,Davidson,822,14.03
1820000,Davidson,815,14.03
1808000,Bella Vista,729,27.28
1737500,Phillip Bay,651,12.83
1320000,Stanmore,145,5.2
4800000,Hunters Hill,815,6.95
2050000,Avoca Beach,755,48.53
2025000,Lane Cove North,734,7.99
1901000,Burraneer,1201,22.83
1700000,Middle Cove,752,8.07
1651000,Balgowlah,610,9.16
1215000,North Rocks,745,20.61
1180000,Kingsgrove,657,13.14
955000,Winmalee,59100,59.15
3150000,Paddington,186,2.61
1702000,North Balgowlah,558,9.49
1268000,Kingsgrove,543,13.14
1265000,Kingsgrove,847,13.14
905000,Beverly Hills,253,15.28
2610000,Belfield,1200,12.24
595000,Werrington,645,44.13
2600000,Kingsford,835,6.95
880000,Smithfield,770,25.19
542500,Colyton,619,39.3
480000,Yagoona,251,17.96
15250000,Manly,592,10.17
1200001,Mount Colah,697,23.26
500000,Cranebrook,530,49.66
2350000,Denham Court,10000,37.48
1580000,Lilyfield,271,4.57
1425000,Sydney,108,0.31
1083000,Leichhardt,151,5.31
950000,The Ponds,466,33.2
730000,Parramatta,234,19.44
600000,Werrington,934,44.13
575000,Narellan Vale,601,47.8
497500,Werrington,594,44.13
3850000,Strathfield,697,12.01
2905000,Wareemba,839,7.24
1305000,Kyeemagh,474,10.35
1280000,Eastgardens,335,8.99
957000,Rydalmere,677,16.91
885000,Gledswood Hills,488,42.7
560000,St Clair,560,39.76
2210000,Canada Bay,807,8.78
1510000,Warrawee,670,17.2
1060000,Birrong,514,17.73
940000,Kingsgrove,493,13.14
880000,Beverly Hills,344,15.28
2390000,Paddington,107,2.61
1880000,Bayview,708,23.83
817000,Riverwood,594,17.01
720000,Fairfield,730,23.96
595000,The Entrance,430,63.63
580000,Riverwood,115,17.01
2250000,Avalon Beach,696,28.35
1800000,East Lindfield,847,11.02
345000,Gorokan,462,73.16
2890000,St Ives,1745,15.99
1200000,Lake Haven,1897,74.04
973000,Kellyville,300,30.08
620000,South Penrith,645,48.41
3360000,Cremorne,512,4.45
1560000,Balmain East,122,1.85
1350000,Fairfield,980,23.96
1330000,Kellyville,570,30.08
1085000,Kellyville,450,30.08
1000000,Dee Why,179,14.67
772875,Woongarrah,811,73.6
737000,Dee Why,128,14.67
725501,Macquarie Park,84,12.32
720000,Glenfield,605,31.57
565000,Doonside,258,33.46
3350000,Whale Beach,1088,30.16
2365000,Middle Cove,815,8.07
1300000,Kellyville,640,30.08
1075000,Kellyville,427,30.08
840000,Avoca Beach,759,48.53
3710000,Collaroy,645,16.78
1750000,Sandy Point,910,23.49
1000000,Guildford West,860,22.83
870000,Beverly Hills,213,15.28
7625000,Collaroy,697,16.78
3662500,Collaroy,562,16.78
2550000,Hunters Hill,1033,6.95
1900000,Collaroy,598,16.78
1350000,North Strathfield,442,11.24
660000,St Leonards,72,5
605000,The Entrance,707,63.63
355000,Werrington,115,44.13
2731000,Lewisham,569,6.74
2675000,Hunters Hill,697,6.95
2520000,Collaroy,683,16.78
2410000,Collaroy,696,16.78
2400000,Horsley Park,10020,33.57
1390000,Kellyville,530,30.08
1380000,Kellyville,427,30.08
1260000,Kellyville,530,30.08
1236000,Beverly Hills,520,15.28
1150000,Waitara,697,19.76
2225000,Hunters Hill,727,6.95
1575000,Castle Hill,866,24.76
1321000,Kellyville,662,30.08
1305000,Beverly Hills,525,15.28
736000,Fairfield,563,23.96
600000,San Remo,645,77.69
1920000,Hunters Hill,522,6.95
1060000,Kellyville,559,30.08
410000,Fairfield,117,23.96
2010000,Stanmore,445,5.2
1475100,Castle Hill,695,24.76
785000,Denham Court,450,37.48
720000,Wyong,1144,68.18
621250,Manly Vale,90,10.57
530000,Glenfield,330,31.57
1737000,Kellyville,751,30.08
1450000,Wiley Park,424,14.66
4550000,Linley Point,617,7.06
2920000,Avalon Beach,1138,28.35
2840000,Stanmore,582,5.2
2670000,Hunters Hill,370,6.95
2375000,Killcare,790,40.73
1580000,Bayview,697,23.83
1295000,Sylvania Waters,569,19.27
1075000,Pretty Beach,868,39.61
990000,Epping,209,15.95
820000,Doonside,657,33.46
710000,Elderslie,464,50.48
515000,The Entrance,398,63.63
500000,Gorokan,506,73.16
432000,Gorokan,677,73.16
2870000,Bonnet Bay,722,21.63
2570000,Lewisham,448,6.74
1985000,Collaroy,556,16.78
1962000,Malabar,626,11.71
1960000,Kyle Bay,737,17.07
1900000,Dolls Point,585,15.45
1890000,Hunters Hill,289,6.95
1810000,Castle Hill,905,24.76
1800000,Riverview,822,6.44
1780000,Castle Hill,904,24.76
1761000,Castle Hill,1127,24.76
1715000,Castle Hill,830,24.76
1691000,Castle Hill,1142,24.76
1575000,Mount Lewis,1031,15.8
1010000,Castle Hill,358,24.76
856000,Denham Court,525,37.48
802000,Riverwood,425,17.01
480000,Gorokan,613,73.16
2325000,Centennial Park,152,4.19
870000,Woy Woy,506,40.99
675000,Beverly Hills,141,15.28
460000,San Remo,557,77.69
2400000,Mosman,218,5.42
1243000,Thornleigh,860,19.84
545000,Woy Woy,443,40.99
3050000,Avalon Beach,3718,28.35
2105000,Castle Hill,951,24.76
1750000,Castle Hill,700,24.76
900000,Bexley,166,12.84
850000,Riverwood,295,17.01
650000,Woy Woy,603,40.99
570000,Riverwood,104,17.01
500000,San Remo,531,77.69
2025000,Greenhills Beach,558,19.56
1985000,Castle Hill,1016,24.76
1760000,Castle Hill,798,24.76
1700000,Terrey Hills,1028,19.32
1375000,Pretty Beach,689,39.61
515000,Campbelltown,613,43.19
1150000,Canterbury,451,10.09
940000,Pemulwuy,300,26.91
840000,Dundas Valley,676,16.38
490000,Colyton,495,39.3
480000,Budgewoi,556,76.65
442500,Marayong,176,32.22
1355000,West Pennant Hills,700,20.91
1330000,Terrey Hills,1126,19.32
925000,Rouse Hill,600,34.5
625000,Marayong,560,32.22
1780000,Bondi Junction,216,4.85
1063000,Merrylands West,697,22.63
1045000,Lilyfield,183,4.57
900000,Chipping Norton,320,24.05
870000,Bondi Junction,77,4.85
2450000,Henley,581,7.12
1521100,Beecroft,803,18.35
1025000,Rydalmere,263,16.91
660000,Berkeley Vale,575,61.6
460000,Berkeley Vale,505,61.6
420000,Berkeley Vale,575,61.6
300000,Berkeley Vale,119,61.6
1450000,Pennant Hills,500,18.83
1400000,Carlton,469,14.29
1265000,Pennant Hills,273,18.83
765000,Pennant Hills,126,18.83
762000,Toongabbie,556,25.67
620000,Toongabbie,556,25.67
566000,Kariong,558,45.8
503000,Narellan Vale,372,47.8
1520000,Hillsdale,414,9.88
1385000,Baulkham Hills,930,24.81
1100000,Bonnyrigg,975,29.87
938888,Baulkham Hills,403,24.81
770000,Terrigal,129,50.75
610000,St Clair,635,39.76
4200000,Balgowlah,530,9.16
2630000,Avalon Beach,919,28.35
1500000,Eastgardens,600,8.99
580000,Gorokan,613,73.16
398000,Gorokan,834,73.16
320000,Elderslie,514,50.48
2200000,Newport,689,25.06
1600000,Windsor Downs,4000,43.7
1500000,Windsor Downs,5057,43.7
1220000,Greenacre,1144,14.61
1150000,Avalon Beach,546,28.35
810000,South Penrith,651,48.41
800000,Engadine,173,27.77
620000,Woongarrah,586,73.6
550000,Woy Woy,725,40.99
1590000,Yowie Bay,582,22.79
1475000,Mount Pritchard,1012,28.89
1421000,Warriewood,252,21.15
921000,Greenacre,942,14.61
580000,Oran Park,840,45.41
2100000,Newport,911,25.06
1920000,North Balgowlah,715,9.49
1600000,Bexley,670,12.84
1250000,Beverly Hills,512,15.28
1212000,Pleasure Point,558,24.22
873000,Riverwood,455,17.01
855000,Denham Court,375,37.48
767000,South Penrith,651,48.41
640000,South Penrith,563,48.41
630000,Doonside,302,33.46
535000,San Remo,575,77.69
2945000,Mosman,462,5.42
707500,Oran Park,375,45.41
475000,Denham Court,457,37.48
4800000,Oatley,1701,18.23
3770000,Duffys Forest,2055,21.21
1935000,Castle Cove,860,8.8
1182000,Claremont Meadows,637,43.49
910000,Woy Woy,525,40.99
765000,South Penrith,650,48.41
745000,Woy Woy,543,40.99
740000,Elderslie,703,50.48
681500,South Penrith,651,48.41
605000,Woongarrah,668,73.6
590000,Riverwood,114,17.01
590000,Doonside,330,33.46
3310000,Cheltenham,1967,17.09
3253000,Artarmon,1467,6.34
3050000,Monterey,1011,13.19
2370000,Collaroy,457,16.78
2200000,Avalon Beach,1635,28.35
2145000,Oatley,1005,18.23
2120000,Westleigh,696,21.62
2050000,Mosman,405,5.42
1855000,Collaroy,683,16.78
1760000,Stanmore,253,5.2
1565000,Kyeemagh,480,10.35
1453000,Bexley,607,12.84
1380000,Manly Vale,393,10.57
1066000,Fairfield,758,23.96
1010000,Bexley,537,12.84
800000,Bexley,147,12.84
618000,Doonside,645,33.46
4920000,Henley,1201,7.12
1560000,Turramurra,961,16.36
1135000,Glenmore Park,710,49.65
900000,Engadine,575,27.77
830000,Springwood,828,61.88
785000,Elderslie,520,50.48
705000,Oran Park,375,45.41
695000,Denham Court,284,37.48
670000,Elderslie,470,50.48
627000,Manly Vale,54,10.57
605000,Woongarrah,668,73.6
3100000,Chester Hill,3825,19.74
2100000,Gorokan,879,73.16
1850000,Turramurra,840,16.36
1800000,Bayview,710,23.83
1628000,Bexley,350,12.84
880000,Blaxland,780,56.39
681000,South Penrith,628,48.41
640000,Springwood,676,61.88
635000,Doonside,557,33.46
405000,San Remo,696,77.69
1697000,Manly Vale,490,10.57
1180000,Newport,214,25.06
1160000,Haymarket,179,1.88
710000,Woongarrah,490,73.6
515000,Woy Woy,653,40.99
2840000,Collaroy,708,16.78
2020000,Newtown,128,4.73
1170000,Turramurra,246,16.36
880000,Oran Park,613,45.41
815000,Collaroy,92,16.78
675000,The Entrance,252,63.63
438000,San Remo,575,77.69
3380000,Wahroonga,2879,17.9
2380000,Breakfast Point,263,9.49
1852500,Turramurra,1075,16.36
1690000,Rodd Point,379,6.12
1450000,Warriewood,258,21.15
1305000,Avalon Beach,983,28.35
1215000,Engadine,822,27.77
1111000,Waitara,627,19.76
650000,Elderslie,600,50.48
630000,Elderslie,388,50.48
610000,Greenacre,191,14.61
480000,Springwood,603,61.88
440000,San Remo,923,77.69
